,id,user,text,date,match,descortes,cortes,neutral
0,4,petrogustavo,"Muchos dirán que son terroristas los padres y madres indígenas que han visto morir de hambre, de VIH, de epidemias, de falta de atención a sus propios hijos. Yo creo que hoy he visto una de las mayores injusticias sociales. Un estado que vuelve víctimas a las víctimas.",Thu Oct 20 05:09:06 +0000 2022,['hijo'],0.6054441332817078,0.21899835765361786,0.17555756866931915
1,54,petrogustavo,"Asi quedaron las habitaciones de las personas que atienden los servicios de las casas. Tienen las mismas colchas y sabanas de la habitación de mi hija.

¿Sabian que revisados minuciosamente compra por compra, ningún articulo comprado presentó sobrecostos? https://t.co/PgUQ0YqPqG",Tue Oct 04 13:21:15 +0000 2022,['hija'],0.25691449642181396,0.29634329676628113,0.4467422366142273
2,242,petrogustavo,Terminé mi jornada en el Chocó visitando el bario Palenque y la casa de Genoveva quien me acogio una dia que dormí alli en campaña. Un hijo joven de Genoveva murió asesinado. Mi objetivo es construir la estrategia eficaz que permita disminuir la pobreza y la violencia en Chocó https://t.co/g4vEqNQZUg,Fri Aug 12 13:55:39 +0000 2022,['hijo'],0.24824734032154083,0.29003626108169556,0.4617164134979248
3,246,petrogustavo,"Mi hija Antonella me pidio retransmitirles esta canción, me pareció muy buena

https://t.co/P66Dp9oGmq",Thu Aug 11 14:09:49 +0000 2022,['hija'],0.22358578443527222,0.5648373365402222,0.2115769237279892
4,334,petrogustavo,"Generalizar el bienestar universitario con restaurantes y guarderías para las jóvenes con hijos.

Lograr que la expansión de la educación cubra las regiones más olvidadas.

Lograr una articulación eficaz en el Sena y en los últimos años de la secundaria con la educación superior.",Thu Jul 07 16:44:47 +0000 2022,['hijo'],0.26192009449005127,0.29807397723197937,0.44000595808029175
5,448,petrogustavo,"Feliz cumpleaños a mi departamento de Córdoba,mañana uno de sus hijos será presidente de Colombia.",Sat Jun 18 21:53:17 +0000 2022,['hijo'],0.23683854937553406,0.34453853964805603,0.4186229109764099
6,505,petrogustavo,"Mi hija fue amenazada durante mi alcaldía por alguien que dijo que le echaría ácido en la cara. Usted Rodolfo amenazó con pegarle un tiro a quien lo contradice y le pegó en la cara a un líder social y cultural.

¿Comprendes la diferencia? https://t.co/nRaYm8fGhQ",Wed Jun 15 03:23:58 +0000 2022,['hija'],0.2132253497838974,0.3866390287876129,0.4001356065273285
7,523,petrogustavo,El ataque brutal desatado contra mi hija Sofia tiene en el fondo una razón: Jamás la veran firmando en notaria el recibo de una coima por contratos públicos ni la verán enriqueciendose con las acciones del gobierno.,Tue Jun 14 01:51:12 +0000 2022,['hija'],0.5965041518211365,0.21395094692707062,0.1895449012517929
8,527,petrogustavo,"Le pido al electorado colombiano en Miami, no escoger el camino a lo Trump, votar demócrata y ganar independencia política en la Florida hace valioso el voto colombiano.",Mon Jun 13 22:50:51 +0000 2022,['Mia'],0.2742965519428253,0.20487172901630402,0.5208317041397095
9,560,petrogustavo,"Estoy en Suaita, Santander. En la tierra de la panela. Piso tierra santandereana, aqui viví, luché y tuve mis primeros hijos. https://t.co/sPo9DIOKe5",Sat Jun 11 00:32:25 +0000 2022,['hijo'],0.29382944107055664,0.4010312855243683,0.3051392734050751
