id,user,text,date,match,descortés,cortés,neutral
1589279722755612673,sergio_fajardo,"Qué pienso del presidente @petrogustavo, de su equipo de gobierno, de la  #ReformaTributaria, de la@#PazTotal, la @CoaliEsperanza, las elecciones del 2023. Acá están mis respuestas. Les comparto la entrevista con @JuanDiegoAlvira en @RevistaSemana. ",2022-06-11,['petrogustavo'],0.06949003785848618,0.07261193543672562,0.8578980565071106
1566474500228759552,sergio_fajardo,@petrogustavo sigue disfrutando la luna de miel del triunfo sin hacer transición de candidato que hace promesas improbables a ser líder de gobierno. Su equipo avanza sin prioridades y sin una narrativa que dé identidad a esta admon. Esa es la lección del mes del nuevo gobierno. ,2022-04-09,['petrogustavo'],0.6118865013122559,0.048154473304748535,0.3399589955806732
1555617872763813888,sergio_fajardo,Gracias @ClaMoralesM por leerme. El problema precisamente es pensar que la corrupción es un lugar común o inherente a la política. Por eso necesitamos conocer cómo pretende el gobierno Petro luchar contra este cáncer. Sin esa lucha no habrá cambio. ,2022-05-08,['Petro'],0.8011534810066223,0.06069336459040642,0.13815312087535858
1555356369330511877,sergio_fajardo,Reitero: ningún gobierno logrará un cambio si no apuesta decididamente por luchar contra la corrupción. No conocemos la estrategia del presidente @petrogustavo para enfrentar este flagelo. Propongo acciones concretas para iniciar ese cambio que el país reclama. ,2022-05-08,['petrogustavo'],0.2870156764984131,0.04981216788291931,0.6631721258163452
1555162463754133504,sergio_fajardo,Cada día más vigente. En el Congreso de la República se libra la principal batalla contra la corrupción. La película no pinta nada bien. El presidente Petro tiene la palabra. ,2022-04-08,['Petro'],0.6769269108772278,0.03924163058400154,0.2838314175605774
1538644693973667840,sergio_fajardo,Felicitaciones a Gustavo Petro. Le deseo lo acompañe la sabiduría para tranquilizar y cuidar este país adolorido.,2022-06-19,"['Gustavo', 'Petro']",0.0552971214056015,0.04104058817028999,0.9036623239517212
1537504784898576384,sergio_fajardo,"Gustavo: la decencia, el respeto, el reconocimiento y la decencia no son virales. El matoneo es la ley. Quien más grita, insulta y miente es un héroe. Así vamos ",2022-06-16,['Gustavo'],0.3184889554977417,0.026630127802491188,0.654880940914154
1533912411861811202,sergio_fajardo,"Ni con el @ingrodolfohdez ni con nadie he puesto condiciones o pedido puestos, como están diciendo para desinformar. Nos encontramos para discutir temas importantes para Colombia y de ahí partió la reunión de la semana pasada. He sido coherente siempre, buscando aportar. ",2022-06-06,['ingrodolfohdez'],0.2771584391593933,0.0012413504300639033,0.7216001749038696
1533458672164159488,sergio_fajardo,"Por considerarlo de interés público, este es el documento de trabajo que habíamos enviado al @ingrodolfohdez ",2022-05-06,['ingrodolfohdez'],0.06253816932439804,0.03606294468045235,0.9013988971710205
1533455365546860545,sergio_fajardo,"A propósito de las declaraciones de @ingrodolfohdez ayer y de nuestra reunión para alcanzar un acuerdo programático, compartimos esta declaración y el documento que pusimos a consideración de la campaña del candidato. ",2022-05-06,['ingrodolfohdez'],0.07387403398752213,0.044704221189022064,0.8814218044281006
1531239855375753216,sergio_fajardo,"No sé que tan valiosa sea mi voz en esta etapa. He hablado con Rodolfo en el pasado, nos conocemos. Anoche me llamó y dijo que quería hablar conmigo. Del lado de Petro nadie. Pero tenemos que aterrizar con calma y sabiduría. Yo quiero aportar. @6AMCaracol",2022-05-30,"['Rodolfo', 'Petro']",0.18557612597942352,0.09923554956912994,0.7151883840560913
